eu	53123217
euˬ	40629256
aˬ	38718447
ahˇ	34356344
ehˇ	29704889
ma	27365513
yaw	24649434
k'oeˇ	22058923
meh	20576682
maˬ	16151794
awˇ	13899769
neh	13487581
tsawˇ	13263743
jeˬ	12837906
haˬ	12786041
g'aˬ	12687771
deuˬ	12248285
gaˇ	11325637
la	10872502
nehˬ	9955314
dawˬ	9384801
lu	9190990
bi	8645045
tiˬ	8492180
ni	8426667
miˇ	8402099
naw	8396640
Miˬyehˇ	8216478
zaˬ	7804289
naˇ	7673262
laˇ	7441235
a	7422127
dui	7403019
duˬ	7108209
lehˇ	7091830
taˬ	6958074
lo	6848885
jawˇ	6665993
nya	6586831
ya	6414858
teh	6109129
iˇ	5983561
ngeh	5765183
ngaˇ	5740615
k'aw	5729696
Yeˬsuˇ	5402129
aˇ	5309319
mˇ	5260183
mehˬ	5183751
heu	5009049
le	4700589
pyeu	4676022
mawˇ	4528617
ngaˬ	4498590
g'eh	4198320
siˬ	4064563
yawˬ	4053644
g'aˇ	3996320
nui	3742455
hawˇ	3663293
iˬ	3616888
li	3554104
awˬ	3526807
kawˆ	3502239
leˇ	3423077
tsaˬ	3403969
cawˬ	3128267
deh	3125537
taˆ	3060023
keuˆ	2986321
k'aˇ	2800699
doˆ	2789780
k'ahˬ	2781591
Ka	2757024
uˬ	2751564
k'o	2737916
gaˬ	2732456
ngeuˇ	2724267
nga	2718808
ta	2677862
paˇ	2658754
dzaˬ	2628727
ha	2617808
k'aˬ	2604159
nah	2478592
tawˆ	2391240
noeˬ	2363943
nawˬ	2350294
geu	2325727
muiˬ	2309349
paˬ	2292970
meuˬ	2265673
na	2235646
jaˆ	2181051
k'aˆ	2159214
za	2140105
jah	2090970
lahˬ	2071862
lahˇ	2063673
mˬ	2039106
shaˇ	1981781
saˇ	1973592
guiˬ	1970862
poˆ	1968133
huiˬ	1940835
nymˇ	1927187
shaˬ	1924457
dawˇ	1891700
haw	1867133
nawˇ	1864403
sahˬ	1812538
shiˇ	1809809
da	1804349
miˬ	1798890
g'awˬ	1779782
oˇ	1738836
ngehˬ	1722457
jiˇ	1703349
tseˇ	1697890
naˆ	1697890
ja	1670592
laˬ	1648755
tahˬ	1624187
maw	1613268
k'ehˇ	1591430
baˇ	1553214
Sahˬpaˬ	1539566
bo	1525917
baˬ	1517728
uˇ	1468593
shawˇ	1433106
maˇ	1430376
paw	1408539
laˆ	1403079
sahˇ	1373052
cehˇ	1367593
g'o	1359404
saˬ	1348485
loˇ	1326647
duˇ	1288431
caw	1277512
baw	1263863
ba	1258404
oe	1242025
byah	1225647
jahˇ	1201079
beh	1181971
dah	1173782
kaˬ	1162863
nyiˇ	1157404
muˇ	1138296
Yuˇdaˆ	1130106
yui	1121917
yaˇ	1094620
sehˇ	1064593
myaˆ	1050944
sheuˬ	1040025
ka	1037296
dzeh	1029107
baoˬ	1018188
mya	1001809
daˬ	1001809
kuˇ	977242
shi	974512
paˆ	971782
nmˇ	971782
myahˇ	955404
k'ehˬ	922647
mahˇ	919917
yamˬ	914458
hmˬ	911728
ga	911728
nyiˬ	884431
dzehˬ	878972
jeuˬ	870782
byaˆ	868053
zahˬ	865323
g'awˇ	865323
tsoˆ	862593
lehˬ	840755
seh	827107
cu	810728
daˇ	769783
nymˬ	764323
ciˬ	764323
joˆ	756134
daˆ	756134
Zahˇ	753404
zahˇ	753404
dzeuˇ	745215
lawˇ	734296
naˬ	717918
sheh	715188
bawˇ	715188
tsoeˬ	709729
jaˇ	704269
tsehˆ	696080
uˆ	682431
Pawˇluˆ	682431
ziˇ	679702
te	676972
pyuˇ	666053
dzeˇ	652404
shuiˇ	646945
g'oe	636026
nuiˇ	616918
yuˇ	603269
Zaˬmaˇ	586891
lah	586891
Beˬtuˆluˆ	586891
zi	584161
tehˬ	581431
smˇ	581431
tsahˇ	573242
piˇ	573242
bawˬ	567783
pyehˬ	559594
g'oˆ	556864
zaˇ	551404
shiˬ	551404
ceuˬ	545945
guˆ	535026
dahˇ	529567
Yoˇhaˬ	526837
pehˇ	524107
kawˬ	524107
k'ahˇ	521377
byehˇ	510458
gahˇ	502269
coeˇ	502269
yehˬ	499540
mehˇ	496810
peh	494080
Aˬda	494080
jawˬ	485891
uiˬ	483161
jaˬ	480431
nyeh	474972
sa	464053
poeˬ	461323
lawˬ	461323
dahˬ	461323
bymˇ	461323
hu	455864
teu	450404
nuiˆ	447675
bahˬ	447675
law	444945
cehˆ	439486
yehˇ	436756
pa	436756
bya	436756
guˇ	434026
myaw	431296
suˇ	428567
doeˇ	425837
jeh	420377
Jaˇli	420377
o	414918
mi	414918
leh	412188
g'oeˇ	406729
Yeˬluˇsaˬlehˬ	403999
tsui	403999
puˬ	401269
gawˬ	401269
kamˬ	395810
haiˬ	395810
sawˇ	393080
kuiˇ	393080
guiˇ	390350
teˇ	387621
sheˇ	384891
kaˇ	384891
ci	384891
cah	382161
tiˇ	379432
jaw	379432
smˬ	371242
haˇ	371242
oeˬ	365783
dm	365783
yu	363053
mahˬ	363053
dzaˇ	363053
yawˇ	360323
pyawˬ	360323
k'mˬ	360323
k'oˆ	357594
myah	352134
jehˆ	349405
tsa	346675
loˬ	346675
pah	341215
g'a	338486
tawˬ	335756
k'oeˬ	335756
tuˇ	333026
byoˆ	327567
ceh	324837
muiˇ	322107
doe	322107
kiˇ	319378
tsu	316648
myawˬ	316648
deuˆ	316648
kawˇ	313918
tmˬ	311188
kahˇ	311188
dehˬ	308459
shaw	302999
hawˬ	302999
cawˆ	302999
pu	300269
dzawˇ	294810
Moˇseˬ	289351
taw	281161
Aˬbyaˬhaˬ	281161
zeu	278432
Paˬliˬsehˇ	278432
diˬ	278432
moˆ	272972
cuˇ	270242
shui	267513
Miˇk'ahˬ	267513
Iˇsaˬleˬlaˆ	262053
gawˇ	262053
saˆ	251134
buˇ	248405
biˇ	248405
pahˬ	245675
tso	242945
uiˇ	240215
sawˬ	240215
sehˬ	237486
g'ahˇ	237486
nyi	234756
ngoeˇ	232026
diˇ	232026
pyehˇ	229297
nahˇ	229297
dzahˇ	229297
tsiˇ	223837
tmˇ	223837
teˬ	223837
coeˬ	223837
Siˇmoˬ	221107
nyaˇ	221107
Gaˬliˬlehˇ	221107
do	218378
dawˆ	218378
caˇ	218378
yaˬ	210188
kmˇ	207459
jawˆ	207459
caˆ	207459
buˬ	207459
yoeˬ	204729
tsahˬ	204729
gahˬ	204729
dziˬ	204729
pi	201999
leˬ	201999
Daˬbiˇ	201999
ahˬ	201999
Tsawˇhaˬ	199270
Toˆ	199270
shaˆ	199270
nahˬ	199270
euˇ	199270
yahˇ	191080
Piˇlaˆ	191080
lmˬ	191080
baˆ	191080
Yaˬkoˆ	188351
shmˇ	182891
luˆ	182891
gui	182891
neˇ	180161
Maˬliˇ	180161
cuiˆ	180161
joe	177432
geuˇ	177432
tuˆ	174702
sha	174702
myaˬ	174702
Loˇmaˆ	174702
juˇ	174702
dzoeˬ	174702
toeˬ	171972
dzaw	171972
ui	169243
pawˬ	169243
heˇ	169243
guˬ	166513
Heˬloˆ	163783
g'eu	163783
damˬ	163783
dzoeˇ	161053
biˬ	161053
huˬ	158324
g'awˆ	158324
zmˬ	155594
lehˆ	155594
pehˬ	152864
ciˆ	152864
oeˇ	150134
dmˬ	150134
coe	150134
bu	150134
tawˇ	147405
shehˆ	147405
tsawˬ	144675
peuˬ	144675
zeuˇ	141945
Yoˇsehˆ	141945
yeh	141945
kuˆ	141945
k'awˇ	141945
SahˬpaˬMiˬyehˇ	136486
pyawˇ	136486
pyaˆ	133756
loˆ	131026
dzah	131026
liˬ	128297
juiˇ	128297
gah	128297
ngawˬ	125567
maˆ	122837
lawˆ	122837
dmˇ	122837
coˬ	122837
ca	122837
ngehˇ	117378
mawˬ	117378
boeˬ	114648
tehˆ	111918
puiˆ	111918
dzawˬ	109189
yahˬ	103729
sheu	103729
shawˬ	103729
gaˆ	103729
ti	100999
saw	100999
luˬ	100999
Iˇjiˇtuˆ	100999
Piˇliˇpuˆ	98270
tiˆ	95540
oˆ	95540
byawˇ	95540
Sawˇluˆ	92810
Saˬdaˬ	92810
piˬ	92810
lmˇ	92810
beuˇ	92810
shehˇ	90080
seˇ	90080
Baˬnaˬbaˇ	90080
Yawˇzaˬ	87351
hehˇ	87351
dehˆ	87351
Baˬsaˬkaˬ	87351
Naˬzaˬlehˇ	84621
ciˇ	84621
beu	84621
awˆ	84621
yoˆ	79162
tahˇ	79162
ko	79162
jiˆ	79162
goˇ	79162
yah	76432
tseuˆ	76432
Tiˆmoˇseˬ	76432
pyuˬ	76432
jui	76432
byawˬ	76432
pyaˬ	73702
ju	73702
Eˇliˇyaˆ	73702
yaˆ	70972
pyehˆ	70972
Maˬgeˬdawˇniˆ	70972
dzoˆ	70972
dziˇ	70972
behˆ	70972
Siˬlaˆ	68243
Laˬzaˬluˇ	68243
kahˬ	68243
k'ah	68243
daw	68243
zaw	65513
puiˬ	65513
muˆ	65513
mo	65513
kamˇ	65513
dzui	65513
dzuˬ	65513
Aˬdiˇawˬ	65513
yo	62783
tsiˬ	62783
to	62783
seuˬ	62783
niˇ	62783
luiˆ	62783
kaw	62783
jmˬ	62783
Iˇtsaˆ	62783
heh	62783
Eˇpeˇsu	62783
buiˇ	62783
yoeˇ	60053
tseˬ	60053
keuˬ	60053
keu	60053
byehˆ	60053
toˆ	57324
Saˬmaˬliˆ	57324
puiˇ	57324
Leˬbiˇ	57324
k'mˇ	57324
Iˇsaˬyaˇ	57324
Gehˇsaˬ	57324
dzahˬ	57324
Heˬlaˬsaˇ	54594
gmˬ	54594
g'ehˇ	54594
du	54594
Aˬshaˆ	54594
tsehˇ	51864
Saˬteˬpaˬ	51864
Mˬtaˆ	51864
k'oˬ	51864
jo	51864
g'oeˬ	51864
yehˆ	49135
k'a	49135
bye	49135
zuiˆ	46405
shu	46405
nawˆ	46405
Meˬsiˇya	46405
Maˬta	46405
luiˬ	46405
koeˇ	46405
Gaˬbeˬneˬoˬ	46405
deuˇ	46405
Daˬmaˬsehˇ	46405
Yeˬ	43675
Tiˇtuˆ	43675
duˆ	43675
de	43675
bui	43675
Yawˇdaˬ	40945
Saˬduˬgehˇ	40945
puˇ	40945
poeˇ	40945
pehˆ	40945
nyoeˇ	40945
myahˬ	40945
miˆ	40945
jeˇ	40945
Gehˇsaˬliˇ	40945
boˆ	40945
Beˬtuˇ	40945
Zaˬkaˬliˇ	38216
Yuˇbeˬ	38216
teuˇ	38216
sawˆ	38216
sahˬpaˬ	38216
Piˇma	38216
k'awˬ	38216
gm	38216
gawˆ	38216
duiˬ	38216
deˇ	38216
Aw	38216
Aˬgiˇpaˆ	38216
Toˇmaˆ	35486
shehˬ	35486
Maˬlaˬkiˇsaˬdehˇ	35486
kuiˬ	35486
ji	35486
Heˬbyehˇ	35486
byaˬ	35486
Beˬtaˬniˇ	35486
Aˬdaˬ	35486
Zeˬbeˬdehˇ	32756
teuˆ	32756
Sawˇlaˬmoˬ	32756
Peˬliˇ	32756
leuˇ	32756
i	32756
Duˇlu	32756
doi	32756
coiˬ	32756
Baˬlaˬbaˇ	32756
Aˬnaˬniˇ	32756
tsmˇ	30026
toˇ	30026
suˬ	30026
Siˇdoˬ	30026
Saˬloˬ	30026
miˬyehˇ	30026
Maˬgaˬdaˬlaˇ	30026
k'awˆ	30026
Iˇsaˬgaˬliˬoˆ	30026
Eˇliˇsaˬbehˆ	30026
Baˬbuˇloˬ	30026
aw	30026
Aˬpawˇluˆ	30026
Aˬgaˬyaˇ	30026
Aˬdehˬlehˬ	30026
tsmˬ	27297
tehˇ	27297
tah	27297
Suˇliˆ	27297
sui	27297
nyoeˬ	27297
noeˇ	27297
myawˆ	27297
Maˬkuˆ	27297
juˬ	27297
Gawˬneˬliˇ	27297
dza	27297
Aˬleˬsaˬduˇ	27297
Yawˇnaˆ	24567
Yaˬiˇluˆ	24567
tseh	24567
tsaˇ	24567
Teˇsaˬloˇni	24567
Sawˇdoˬ	24567
Noˇaˬ	24567
nmˬ	24567
miˇneh	24567
miˇk'ahˬ	24567
k'eh	24567
Gaˬyaˬpaˇ	24567
Gawˇliˬtu	24567
gaw	24567
Gaˇma	24567
byoe	24567
Behˬlehˬhehˬ	24567
tsehˬ	21837
tm	21837
Suˇmoˬ	21837
seu	21837
pymˬ	21837
meu	21837
koˆ	21837
hui	21837
Guˇbaˬluˇ	21837
Giˇliˇciˆ	21837
