yo	55489006
li	32788378
a	26656840
pou	25528185
nou	23391120
nan	23228062
te	22366312
ki	21370655
sa	18926602
fè	17674060
moun	17476386
se	16385079
la	15087901
mwen	15063305
ou	14135968
ak	14118660
l	12648403
yon	12618342
pa	12214796
tout	11998903
di	10505872
sou	8802414
menm	8678526
Bondye	8519111
m	7972547
lè	7662828
gen	7540762
Senyè	7318492
an	6691766
ap	5960281
Men	5592261
peyi	5142256
pitit	5037498
konsa	4839824
tou	4445387
pran	4268665
lavil	4129291
epi	3932528
paske	3719368
lòt	3714813
bay	3629185
pèp	3550844
ka	3390519
wè	3359547
lan	3285761
jan	3230193
wa	3210152
va	3198310
men	3181002
mete	3173715
si	3156407
t'ap	3150941
kote	3142743
k'ap	3043450
vin	2966931
pral	2833023
bagay	2803873
Jezi	2718245
tankou	2660856
konnen	2602555
pase	2590713
m'ap	2556097
ankò	2542433
tèt	2537879
rive	2512372
Izrayèl	2512372
devan	2374820
rete	2343848
bò	2229070
ansanm	2214495
p'ap	2191721
jou	2189900
gason	2184434
bon	2127956
avèk	2112470
gwo	2081498
san	2080587
fanmi	2071477
byen	2055991
voye	2055080
rele	2007712
kite	2006801
pale	1994958
anpil	1982205
ni	1873803
jwenn	1842831
ba	1812770
ti	1735340
vle	1729875
y'ap	1714389
manje	1705279
mande	1695259
sòti	1693437
non	1687972
pat	1675218
papa	1656089
ye	1651534
kè	1620562
ta	1592323
mouri	1579570
chèf	1563173
sèvi	1554063
touye	1535845
tounen	1531290
janm	1507605
Apre	1489387
t	1405580
mèt	1401936
l'ap	1400114
al	1391916
leve	1380074
pi	1368232
ale	1363677
pye	1355478
bèt	1355478
tande	1352746
n'a	1348191
toujou	1344547
ban	1337260
de	1326328
anba	1312664
reponn	1297178
mache	1290802
anyen	1288069
pawòl	1265295
kò	1242522
fèt	1219748
y'a	1203351
viv	1184222
chak	1175112
kay	1151428
avè	1151428
travay	1144140
yonn	1131387
nonm	1131387
tan	1095860
genyen	1092217
depi	1090395
renmen	1089484
pouvwa	1083107
jouk	1081285
fin	1073087
syèl	1061245
David	1058512
frè	1055779
sèl	1051224
tonbe	1042115
lòd	1032095
vini	1021163
branch	1019341
Jerizalèm	1009321
poutèt	1008410
w'a	1003856
latè	994746
mitan	992013
mal	983815
Kris	980171
Moyiz	971062
nasyon	962863
dlo	961041
peche	960130
kenbe	942823
pote	941912
moute	938268
lakay	937357
tè	935535
n'ap	920049
mòn	915494
lespri	915494
prèt	913672
gade	911851
Jida	909118
nèt	899097
konn	879057
